"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id","label"
"","","PT20","Azores (PT)","","","","","","","","","TTD","Trinidad and Tobago Dollar","","","","","",""
"","","PT30","Madeira (PT)","","","","","","","","","TWD","New Taiwan Dollar","","","","","",""
"","","SVK","Slovak Republic","","","","","","","","","TZS","Tanzanian Shilling","","","","","",""
"","","SK01","Bratislava Region","","","","","","","","","UAH","Hryvnia","","","","","",""
"","","SK02","West Slovakia","","","","","","","","","UGX","Uganda Shilling","","","","","",""
"","","SK03","Central Slovakia","","","","","","","","","USD","US Dollar","","","","","",""
"","","SK04","East Slovakia","","","","","","","","","USN","Dollar (Next day)","","","","","",""
"","","SVN","Slovenia","","","","","","","","","USS","Dollar (Same day)","","","","","",""
"","","SI01","Eastern Slovenia","","","","","","","","","UYI","Uruguay Peso en Unidades Indexadas","","","","","",""
"","","SI02","Western Slovenia","","","","","","","","","UYU","Peso Uruguayo","","","","","",""
"","","ESP","Spain","","","","","","","","","UZS","Uzbekistan Sum","","","","","",""
"","","ES11","Galicia","","","","","","","","","VEB","Bolivar (old)","","","","","",""
"","","ES12","Asturias","","","","","","","","","VEF","Bolivar fuerte","","","","","",""
"","","ES13","Cantabria","","","","","","","","","VND","Dong","","","","","",""
"","","ES21","Basque Country","","","","","","","","","VUV","Vatu","","","","","",""
"","","ES22","Navarra","","","","","","","","","WST","Tala","","","","","",""
"","","ES23","La Rioja","","","","","","","","","XAF","CFA Franc - BEAC","","","","","",""
"","","ES24","Aragon","","","","","","","","","XAG","Silver","","","","","",""
